Krenak,Portugues,Ortografia Alternativa,Notas,Fonte
krak ju nuk,cego / faca c.,crak jú nuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krak mrép,afiar / faca afiada,crák m’rép,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"krak nẽ, merrep",cortar / c. com faca,"c’rak nẽ, me- hep",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krak ngrâk,amolar / amole a faca,crak angrâk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krak pakiu,faca / facão,crak pakjú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krak tan,foice,"crak tane, V. Ferro, Faca",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krak tât,enxada,crak teute,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krak-e-mrép- jikaram,"afiada, a faca está muito a.",karack-e- meräp-gicarám,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
krang,aborrecido,aráng,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krang,aflição,crang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krang,cobra,crang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krantéi,"luz, lâmpada",crantéi,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krapók,machado,crapók,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"krapók , krapó",machado,"carapóck , carapó",ck apenas audível,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kraput,carapuça,craput,vocábulo novo,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krarrók-krarrók,rã,cra-hók-cra- hók,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kraü,"estranho, estrangeiro",craý,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kraü,gente / g. estranha,"craý, V. Branco",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kraü krenton,português,cray crentone,= gente de má cabeça,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kraü ton kat rim,negro / homem n.,craý tone cate híme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"kraü, kraü jirum",branco / gente b.,"craý, cray girúm",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kraukeng,ostra,craukẽ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krau-krau,mergulhão (pássaro),cráo-cráo,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kraüthá,papagaio / p. creo-creo,craytchá,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krauung,laranja,crawung,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krauung kugü arâ,limão,crawung cugy areu,= laranja pequena azeda,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"krê, kuá",cá,"crê, cuá",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"kré, ngâm",aqui,"cré, ‘ngâme",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kren,cabeça,k’ren,"Мeu intérprete, um Botocudo, me deu apenas k’ren. Se examinamos a palavra “cabeça” em composições, a encontramos sempre como k’ren.","Frassetto (2018), Charles Frederick Hartt (1865–1866) "
kren,cabeça,créne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kren,espiga,créne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kren araning,antepassados,crêne aranĩ (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kren dhuem,buzina,crene djoéme,= chifre da cabeça,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kren enruk,algodoeiro / maçã do a.,cren inrúk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kren jeuk,pagão,crene jeuk,= cabeça em desordem,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kren jun nhu kujum,cabresto,crene june nhu cujúme,= corda da cabeça e focinho,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"kren kat, kapet",chapéu,"crene cate, capête",vocábulo novo,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kren kurang,pentear,crêne curáng,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kren mrin,calvo,crene m’rin,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kren nhiik,fita,crene nhiik,= amarra cabeça,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kren nhom,cabeça / c. branca (cabelo),crene nhome,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kren tepók,"barrete, boné",crêne tepók,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kren thau-thau im,machucar / a cabeça está machucada,crene tchau- tchau im’,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"kren ton, enró",demência,"crene tône, en’hó (?)",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"kren, nham (íba)",fruta,"crene, nháme (ou iba?)",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kreneké,cabeça / cabelo,creneké,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kren-ingerung,"cabeça, dor de c.",kerän-íngerung,e breve,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kren-kat,cabeça,keräng-cat,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kren-ké,cabelo da cabeça,kerän-kä,primeiro e muito breve,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kren-ké-nhom,cabelo loiro,kerän-kä-nióm,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kren-ké-nhom,"louro, cabelo l.",kerän-kä-nióm,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kren-ké-rim,cabelo preto,kerän-kä-him,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kren-mang,"cabelo, cortar o c.",kerän-mang,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kren-nhom,calvo,krän-nióm,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
krennhon,nuca,crennhõn,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kren-pruk,cabelo ruivo,kerän-npuruck,Primeiro u muito breve,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kren-rong,crânio humano,kerän-hong,o primeiro e quase inaudível,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kren-thouem,chifre de veado,krän-tiouém,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kren-tiuem,"boi, chifre de b.",krän-tiuem,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
krijôta,cativo,c’rijôta (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kritá-thá,anu (pássaro),critá-tchá,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krokó-gü,cambaúba,crocó-gy,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krokthók,cágado,crok-tchók,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"krom, kroupóp",provar,"crome, croupóp",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krop,morder,crôp,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
króp,morder,coróp,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"krópâ, jourrá",por / p. baixo,"crópeu (?), jouhá",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kroponüm,mulher / (outras),croponýme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"kroponüm, jokan orang, runú kuang",moça,"croponým’, jocán’ orang, runú cuang",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krót,mamão,crót,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krot mpat-ung,apanhar / apanhe mamão,crot ‘mpat-ũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krotouüp,três,crotouýp,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kruk,filho,cruk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kruk nhin grá,gêmeos,cruk nhin grá,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kruk-nin,criança,curuck-nin,pelo nariz,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kruk-nung,sobrinho,cruk-nũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kruk-tá,"sair da casca, nascer",crúk-tá,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"kruk-tá, nang tá",parir,"cruk-tá, nang-tá",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"krut nurrum, kiak uü-pé",guerra,"crut nuhúm, kjak uy-pé (?)",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krüta,folhagem,c’rýta,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krüta,ramo,k‘ríta,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
krüta,vassoura,"k’rýta, V. Folhagem",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ktak mung,pato,kták mún,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ktapmung,pato do mato,catapmúng,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kuang,barriga,cuáng,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kuang,barriga / barrigada (intestinos),cuáng,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kuang,ter,cuang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kuang,tripa,cuã,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kuang,ventre,cuáng,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kuang antik,destripar,cuang antik,= arrancar tripa,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kuang japok,ventre,cuang japok,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kuang tarantang,diarreia,cuang tarantang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kuang-auó,destripar um animal,cuang-awó,"cua soa indistintamente, quase como w, ó breve","Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kuang-e-‘rék,"grávida, mulher g.",cuáng-ä-räck,isto é: o ventre é crescido,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kuang-e-má,sóbrio,cuang-e-mah,o ventre está vazio - e apenas audível,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kuang-ingerung,dor de barriga,cuáng-ingerung,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kuang-jipakiu- jikaram,"satisfeito, muito s.",cuang-gipakiú- gikarám,isto é: o ventre está muito grande,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kuang-nhak,"bucho, barriga",cuang-mniáck,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kuang-nkrung,cólica,cuáng-ncrúng,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kuang-oron,intestinos,cuáng-orón,literalmente: o comprido na barriga,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kuan-kuan,papagaio,cuán-cuán,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kuat,cachimbo,cuáte,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kuat ji-raup,cachimbo / canudo do c.,cuát gi-haupe,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kuat rum,dar / dá-me o cachimbo,cuáte húme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kudhé,colher,cudjé,vocábulo novo,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"kudhi, pmék",pequeno,"cudgí, pmäck",,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kuem,apagar / a.-se,cuéme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kuem,falecer,coém’,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kuem,juriti,cuem’,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kuem,morrer,cuêm’,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kuem,"defunto, cadáver",kuém,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kuem,morrer,kuém,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kuem dhokon,morrer / morreu há muito,cuem’ djocône,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"kuem, nu tang, nu knhék",quebrar,"cuême, nu tang, nu knhék",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kui,cheirar,cuí,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kuian,tamanduá- bandeira,cuián,a semi-palatal,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kuian-kudhi,tamanduá- mirim,cuián-cudgí,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"kuin nuk, gampong",verdade,"kwíne nuk, gampoĩ",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kujan,tamanduá,cújáne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kujum,cipó / c. em geral,cujúm,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kujum,corda,cujum’,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kujum,embira,cujúme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kukâng,suor,cucâne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kukang-eiu,"suor, suar",cucang-eiú,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kukiun,dormir,cukjun’,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kukiun,dormir,kuckjún,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kukiun am-mung,ir / vai dormir,cukjúne amũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kukün,medo,cukýne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kukün,"temer, temor",cukýne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"kum, an-kinnang",tabaco / t. para fumar,"khúme, an- kinnang, V. Fumo",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"kum, kum jitang","fumo, tabaco","khum’, khum’ gitang, V. Tabaco",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"kumam, kumpman",cigarro,"cûmame, cumpman",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kung an,"gritar, grito",cũ án,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kunhâng,socar,cunhâng,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kunthung,tatu,kuntschung,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kunthung-kokan,tatu-canastra (dasypus gigas cuv),kunts-chung- cocan,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
küomir,dente,küomir,,"Frassetto (2018), Charles Frederick Hartt (1865–1866) "
kuong-kuong- jipakiu,jiboia,cuong-cuong- gipakiú,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kupá nim,"lado, banda",cupá nim’,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kúpa nu-mping,racha,cupa numpĩ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kupang,fígado,cupang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"kupang mron, kuang mron",hidropisia,"cupang m’ron (?), cuang m’ron",o segundo = barriga inchada,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kupanim nhiik,cinto,cupaníme ‘nhiik,= amarra cintura,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"kupanim, thá tanim",cintura,"cupaníme, tchá taníme",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kuparak,onça,cuparác,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kuparak jakjâm,onça / o. canguçu,cuparác jac jâme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"kuparak-gü, krakajá",gato,"cuparak-gy, cracajá",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kuparak-jipakiu,onça pintada,kuparack- gipakiú,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kuparak-kuntiak,gato do mato (felis macroura),kuparack- kuntiack,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kuparak-nigmék,gato do mato (felis pardalis),kuparack- nigmäck,g apenas audível,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kuparak-nim- puruk,onça parda sem malhas,kuparack-nim- puruck,primeiro u apenas audível,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kuparak-re-ru,"urra, a onça u.",cuparack-hä-hú,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kuparak-rim,"onça negra, tigre",kuparack-him,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kupirik,barbado (bugio),cupirík,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kupirik,guariba,cupirik,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kupirik,guariba (macaco),cúpilick,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kup-mrang,anta,cup-m’ráng,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
küpó,"muriqui, mono (macaco)",kupó,u como ü ou ö,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"kurâ thá, bakân thá",tucano,"curâ tchá, bacâne tchá",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kuran,desejar,"curáne, V. Querer",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"kuran, karü",querer / desejar,"curáne, carý",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kurang,pente,curáng,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kurék-jipakiu,porco doméstico,curäck-gipakiú,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kurék- nigmantioku- nhom,"queixada (porco, dicotyles iabiatus)",curäck- nigmantiocú- nióm,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kuring,limpo,kuring,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kürop,espuma,körop,ö quase palatal,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
kurrü,cuia,cu-hý,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kurrü,gamela,"cú-hy, V. Tigela",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kurrü,"tigela, gamela",cu-hý,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kurrü nâp,raso / vaso r.,cuhy neup,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"kurrü, nhat nheik",caneca,"cu-hy, nhat nheik",vocábulo novo,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"kurrü, thik",xícara,"cu-hy, chik",vocábulo novo,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kurrün,mentira,cuhýn,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kurün,lavar,curyn,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kurün nheron,disputa,curyn nherone (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"kuten-mapê, kutüm",aquecer-se,"cutên-mapê, cutýme",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
kutu nang,neto,cutú nang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ku-ü,doce,cuï,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"kuü, bu","cheiro, cheirar","cuý (?), bú",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ku-üp,deitar-se,cuýp (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
má,buraco,mah,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
má,leve,mah,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
má,"vazio, oco",mah,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
majoking,altivo,majoking (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"majokom, nhing uin nhütmron",força,"majocom’, nhin uin nhyt’ m’ron",o segundo = eu cavouco com nervo duro,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mak,galho,mak,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mak,perna,mak,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mak,perna,maak,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mak jokom,guerreiro,mak jocôme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mak nhin-‘ram,banana / b. prata,mak nhin-rame,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"mak, mak jopók",coxa,"mak, mak jopók",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"makan thon, thon mrin",vara,"mak’an tchone, tchone m’rin",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
makaná,jati,macanáh,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"mak-atná, nhimetung",grosso,"mak-at’ná, nhimetũ",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
makinham,homem / h. velho,mak inham’,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
makinham,velho,makinháme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"makinham atuk, rat-rek, thin",isca / iscar anzol,"makinham’ atúk, hat-hek, tchin",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
makinhê kren,ingá,makinhê crene,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
makiokom,valente,makjocôme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mak-jék,perna / fêmur,mak-jék,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mak-jitiá-jikaram,"pés, os p. (quando doentes ou doloridos)",maak-gitia- gikarám,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
maknang,tesoura,maknáng,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
maknham,velho,makniam,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mâknhãng,anzol,mâk-nhang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
maknh-dhopok,"coxa, quadril",makn- dchopock,um e entre k e n apenas audível,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mak-nhiek,barriga da perna,maak-egniek,e breve,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mâkrãng,pesado,mókarang,o entre ö e ä,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
manan,ananás,mánan,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mang,derrubar,mang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
manhak,"cérebro, o c.",manjáck,primeiro a algo alongado,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
manhaknüng,cotia,maniakenüng,e às vezes inaudível,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
manhân-nhân,pereba,manhâne-nhâne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
manhé-nen pakiu,"bexigas, varíola",manhé-nêne pakjú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
manhunenhun,sarna,manhúnenhúne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
manthong,remendar,mantchoũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
maranang,mar,maranã,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
maranang narrat,"agitar / mar agitado, bravo",maranã na-háte,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mârang,vasilha,mâráng,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mararang,febre / f. intermitente,mararã (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
maré,mel,mah-rä,"primeira sílaba longa, rä breve, tudo pelo nariz","Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
marron,abóbora,ma-hone,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
marron kugü,melancia,ma-hone cugy,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mât,fundo (adjetivo),mât,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mât,cheio,mat,a entre ä e ö,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mât,fundo,mat,"a entre ä e ö, quase como este último","Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
Matin inthupung,estar / Martinho está trabalhando,Matín inchup’ũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
maun-maun,doente,maun-maun,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mauong,machacari (tribo),mawong,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mau-ron,pinhão,mau-hon,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mau-ron thon,pinheiro,mau-hon tchone,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mbijam,bexiga,‘mbijáme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mdat,depois,‘mdat,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mdat jop,depois / bebo d.,‘mdat jop,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
meik-meik,"curto, baixo","meik-meik, V. Baixo",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
méknhot-knhot,crescer,mäknot-knot,kn indistintamente nasal e palatal,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mémé,cabra,mémé,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mé-mé,bode,mémé,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
memtou,"papo, bócio",mem’tôu,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
men,pegar / agarrar,méne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
men mron,estar / está seguro,men’ m’ron,= pegado forte,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
merat,despertar,merat,r e a pouco distintos,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
merék,"pestanejar, piscar os olhos",meräk,r quase como l,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"meremé, tit nham kudhek",jacarandá,"meremé, tit nhame cudjek (?)",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
merong,"forte, força",meróng,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"mgrá, kuran",quase,"mg’rá, curáne (?)",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
miá,mastigar,miáh,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mim,peito,míme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
mim,peito,mim,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
mim-ingerung,"dor de peito, cansaço",mimingerung,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
miná,quem,miná,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
